State,Quarter,CrashID,Month,Year,Hour,Crash_Type,Number_of_Fatalities,Bus_Involvement,Heavy_Rigid_Truck_Involvement,Speed Group,Articulated_Truck_Involvement,Speed_Limit
SA,1,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,110
VIC,1,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,80
NSW,2,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
WA,2,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,Yes,110
TAS,2,1st Quarter,01.January,2016,Night, Multiple vehicle,2,No,No,Speed D:Slow,No,80
TAS,3,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,100
QLD,3,1st Quarter,01.January,2016,Afternoon,Pedestrian,1,No,No,Speed D:Slow,No,60
VIC,4,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed C:Medium,No,50
WA,4,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
NSW,4,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
NSW,4,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,60
NSW,5,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed C:Medium,No,50
NSW,7,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,80
NSW,8,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,100
WA,8,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,70
NSW,9,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed C:Medium,No,50
WA,9,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
SA,9,1st Quarter,01.January,2016,Morning, Multiple vehicle,3,No,No,Speed D:Slow,No,80
NSW,9,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,60
QLD,9,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,100
WA,9,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
QLD,9,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
VIC,10,1st Quarter,01.January,2016,Night, Multiple vehicle,1,No,No,Speed D:Slow,No,70
VIC,10,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,100
WA,10,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,90
VIC,10,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
NT,11,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
NSW,12,1st Quarter,01.January,2016,Morning,Pedestrian,1,No,No,Speed D:Slow,No,60
QLD,12,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,100
VIC,13,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,100
NSW,13,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,100
QLD,13,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,100
QLD,13,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
QLD,14,1st Quarter,01.January,2016,Morning, Multiple vehicle,2,No,No,Speed D:Slow,No,110
WA,14,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,110
WA,14,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,110
NSW,14,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,100
VIC,14,1st Quarter,01.January,2016,Night, Multiple vehicle,1,No,No,Speed D:Slow,No,60
NSW,15,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
QLD,15,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,60
QLD,16,1st Quarter,01.January,2016,Morning,Single vehicle,1,No,No,Speed D:Slow,No,60
NSW,16,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,80
VIC,16,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed C:Medium,No,50
NSW,16,1st Quarter,01.January,2016,Afternoon, Multiple vehicle,1,No,No,Speed D:Slow,No,100
QLD,16,1st Quarter,01.January,2016,Night,Single vehicle,1,No,No,Speed D:Slow,No,110
SA,18,1st Quarter,01.January,2016,Morning, Multiple vehicle,1,No,No,Speed D:Slow,No,110
NSW,18,1st Quarter,01.January,2016,Afternoon,Single vehicle,1,No,No,Speed D:Slow,No,110
